,latitude,longitude
0,28.46322,-16.247867
1,28.456146,-16.251397
2,28.4648,-16.24795
3,28.4668,-16.247867
4,28.467297,-16.247981
5,28.463583,-16.24872
6,28.470908,-16.246659
7,28.470813,-16.246592
8,28.470822,-16.246728
9,28.470822,-16.246501
10,28.470824,-16.246501
11,28.47088,-16.246714
12,28.466594,-16.245995
13,28.466608,-16.246012
14,28.466575,-16.246009
15,28.454925,-16.253989
16,28.455222,-16.253912
17,28.455505,-16.253592
18,28.455552,-16.253553
19,28.455477,-16.253895
20,28.454925,-16.253989
21,28.45525,-16.253867
22,28.454925,-16.253989
23,28.455533,-16.25392
24,28.455747,-16.252712
25,28.456483,-16.25222
26,28.4559,-16.252728
27,28.456288,-16.252225
28,28.456483,-16.252203
29,28.4539,-16.256431
30,28.459241,-16.253817
31,28.466961,-16.248523
32,28.467669,-16.254242
33,28.466702,-16.248445
34,28.46658,-16.248128
35,28.46658,-16.248128
36,28.46658,-16.248128
37,28.466847,-16.248117
38,28.466955,-16.247062
39,28.466955,-16.247489
40,28.466955,-16.247489
41,28.46698,-16.247434
42,28.466961,-16.247014
43,28.467486,-16.246959
44,28.467522,-16.24682
45,28.467522,-16.24682
46,28.46708,-16.246875
47,28.46708,-16.246875
48,28.467486,-16.246959
49,28.467522,-16.24682
50,28.467372,-16.246842
51,28.46708,-16.246875
52,28.46693,-16.246867
53,28.46693,-16.246867
54,28.467174,-16.246164
55,28.467174,-16.246164
56,28.467174,-16.246164
57,28.46433,-16.2482
58,28.46433,-16.2482
59,28.46433,-16.2482
60,28.464125,-16.2482
61,28.463683,-16.248631
62,28.464125,-16.2482
63,28.464125,-16.2482
64,28.463541,-16.248745
65,28.463569,-16.248787
66,28.463622,-16.248551
67,28.463569,-16.248787
68,28.456542,-16.252191
69,28.456571,-16.251643
70,28.455731,-16.251794
71,28.456476,-16.252319
72,28.477537,-16.239423
73,28.472426,-16.247481
74,28.479923,-16.258081
75,28.467087,-16.250002
76,28.467087,-16.250002
77,28.467087,-16.250002
78,28.471671,-16.246021
79,28.463664,-16.251804
80,28.468474,-16.250796
81,28.464696,-16.266235
82,28.463933,-16.251332
83,28.43838,-16.277031
84,28.47435,-16.244466
85,28.469719,-16.242974
86,28.47285,-16.240947
87,28.467757,-16.254369
88,28.46903,-16.253821
89,28.451855,-16.257531
90,28.456137,-16.251558
91,28.456316,-16.251955
92,28.471652,-16.246247
93,28.459051,-16.229209
94,28.459051,-16.229209
95,28.471652,-16.246247
96,28.456146,-16.251322
97,28.456146,-16.251322
98,28.456146,-16.251322
99,28.471652,-16.246247
100,28.471652,-16.246247
101,28.471652,-16.246247
102,28.466063,-16.247098
103,28.46625,-16.246981
104,28.467575,-16.247348
105,28.467458,-16.247328
106,28.469413,-16.245659
107,28.469291,-16.245634
108,28.465937,-16.254401
109,28.465937,-16.254401
110,28.467201,-16.247255
111,28.467201,-16.247255
