c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE
FOR,I551-I553,ES,2022-08,8285668.0
FOR,I551-I553,ES,2022-09,7307197.0
FOR,I551-I553,ES,2022-10,6228662.0
FOR,I551-I553,ES,2022-11,3378828.0
FOR,I551-I553,ES,2022-12,3043803.0
TOTAL,I551-I553,ES,2018-01,6011597.0
TOTAL,I551-I553,ES,2018-02,6860877.0
TOTAL,I551-I553,ES,2018-03,9195525.0
TOTAL,I551-I553,ES,2018-04,10358185.0
TOTAL,I551-I553,ES,2018-05,12154208.0
TOTAL,I551-I553,ES,2018-06,13666452.0
TOTAL,I551-I553,ES,2018-07,15466432.0
TOTAL,I551-I553,ES,2018-08,16935719.0
TOTAL,I551-I553,ES,2018-09,13641100.0
TOTAL,I551-I553,ES,2018-10,11523981.0
TOTAL,I551-I553,ES,2018-11,7668477.0
TOTAL,I551-I553,ES,2018-12,7332142.0
TOTAL,I551-I553,ES,2019-01,6109368.0
TOTAL,I551-I553,ES,2019-02,7016000.0
TOTAL,I551-I553,ES,2019-03,8923506.0
TOTAL,I551-I553,ES,2019-04,11232669.0
TOTAL,I551-I553,ES,2019-05,12737373.0
TOTAL,I551-I553,ES,2019-06,14416631.0
TOTAL,I551-I553,ES,2019-07,15933094.0
TOTAL,I551-I553,ES,2019-08,17738068.0
TOTAL,I551-I553,ES,2019-09,13645499.0
TOTAL,I551-I553,ES,2019-10,11578144.0
TOTAL,I551-I553,ES,2019-11,7886628.0
TOTAL,I551-I553,ES,2019-12,7490821.0
TOTAL,I551-I553,ES,2020-01,6515011.0
TOTAL,I551-I553,ES,2020-02,7643820.0
TOTAL,I551-I553,ES,2020-03,3018156.0
TOTAL,I551-I553,ES,2020-04,0.0
TOTAL,I551-I553,ES,2020-05,141129.0
TOTAL,I551-I553,ES,2020-06,1549481.0
TOTAL,I551-I553,ES,2020-07,6716215.0
TOTAL,I551-I553,ES,2020-08,8946303.0
TOTAL,I551-I553,ES,2020-09,4825722.0
TOTAL,I551-I553,ES,2020-10,3119549.0
TOTAL,I551-I553,ES,2020-11,1395880.0
TOTAL,I551-I553,ES,2020-12,1742777.0
TOTAL,I551-I553,ES,2021-01,1319840.0
TOTAL,I551-I553,ES,2021-02,1345411.0
TOTAL,I551-I553,ES,2021-03,2215210.0
TOTAL,I551-I553,ES,2021-04,2635901.0
TOTAL,I551-I553,ES,2021-05,4512672.0
TOTAL,I551-I553,ES,2021-06,7727371.0
TOTAL,I551-I553,ES,2021-07,12250355.0
TOTAL,I551-I553,ES,2021-08,14952436.0
TOTAL,I551-I553,ES,2021-09,10810719.0
TOTAL,I551-I553,ES,2021-10,10284200.0
TOTAL,I551-I553,ES,2021-11,6534589.0
TOTAL,I551-I553,ES,2021-12,6100656.0
TOTAL,I551-I553,ES,2022-01,4653461.0
TOTAL,I551-I553,ES,2022-02,6290072.0
TOTAL,I551-I553,ES,2022-03,7343848.0
TOTAL,I551-I553,ES,2022-04,11234432.0
TOTAL,I551-I553,ES,2022-05,12544744.0
TOTAL,I551-I553,ES,2022-06,14499490.0
TOTAL,I551-I553,ES,2022-07,16998950.0
TOTAL,I551-I553,ES,2022-08,17966158.0
TOTAL,I551-I553,ES,2022-09,14100306.0
TOTAL,I551-I553,ES,2022-10,12091765.0
TOTAL,I551-I553,ES,2022-11,7565908.0
TOTAL,I551-I553,ES,2022-12,7420748.0
